date,close,volume,open,high,low,symbol
2022-06-27,264.89,24615110,268.205,268.3,263.28,MSFT
2022-06-24,267.7,33923230,261.808,267.98,261.72,MSFT
2022-06-23,258.86,25861450,255.57,259.37,253.63,MSFT
2022-06-22,253.13,25961220,251.89,257.17,250.37,MSFT
2022-06-21,253.74,29928300,250.255,254.75,249.51,MSFT
2022-06-17,247.65,43084780,244.7,250.5,244.03,MSFT
2022-06-16,244.97,33169160,245.98,247.4174,243.02,MSFT
2022-06-15,251.76,33111730,248.31,255.3,246.42,MSFT
2022-06-14,244.49,28651490,243.86,245.74,241.51,MSFT
2022-06-13,242.26,46135790,245.11,249.0242,241.53,MSFT
2022-06-10,252.99,31445840,260.58,260.58,252.53,MSFT
2022-06-09,264.79,26439730,267.78,272.7081,264.63,MSFT
2022-06-08,270.41,17372340,271.71,273.0,269.61,MSFT
2022-06-07,272.5,22860680,266.635,273.13,265.94,MSFT
2022-06-06,268.75,22400340,272.06,274.18,267.22,MSFT
2022-06-03,270.02,28058960,270.31,273.45,268.41,MSFT
2022-06-02,274.58,44008210,264.45,274.65,261.6,MSFT
2022-06-01,272.42,25292170,275.195,277.69,270.04,MSFT
2022-05-31,271.87,37827700,272.53,274.77,268.93,MSFT
2022-05-27,273.24,26910810,268.48,273.34,267.56,MSFT
2022-05-26,265.9,25002110,262.27,267.11,261.4294,MSFT
2022-05-25,262.52,28547950,258.14,264.58,257.125,MSFT
2022-05-24,259.62,29043900,257.89,261.33,253.5,MSFT
2022-05-23,260.65,33175380,255.49,261.5,253.43,MSFT
2022-05-20,252.56,39199280,257.24,258.54,246.44,MSFT
2022-05-19,253.14,32692290,253.9,257.67,251.88,MSFT
2022-05-18,254.08,31355990,263.0,263.6,252.77,MSFT
2022-05-17,266.82,28828800,266.11,268.33,262.46,MSFT
2022-05-16,261.5,32550930,259.955,265.82,255.78,MSFT
2022-05-13,261.12,34925090,257.35,263.04,255.35,MSFT
2022-05-12,255.35,51033800,257.69,259.88,250.02,MSFT
2022-05-11,260.55,48975900,265.68,271.36,259.3,MSFT
2022-05-10,269.5,39336420,271.69,273.75,265.07,MSFT
2022-05-09,264.58,47725950,270.06,272.36,263.32,MSFT
2022-05-06,274.73,37780320,274.805,279.25,271.27,MSFT
2022-05-05,277.35,43260390,285.54,286.35,274.34,MSFT
2022-05-04,289.98,33599320,282.59,290.88,276.73,MSFT
2022-05-03,281.78,25978610,283.96,284.13,280.15,MSFT
2022-05-02,284.47,35151110,277.71,284.94,276.22,MSFT
